Player,Season,Team,Lg,G,AS,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB
Ronald Acuña Jr.,2023,ATL,NL,159,1,735,643,149,217,137,35,4,41,106,73,14,80,84,0.337,0.416,0.596,1.012,171,383
Ozzie Albies,2023,ATL,NL,148,1,660,596,96,167,99,30,5,33,109,13,1,46,107,0.28,0.336,0.513,0.849,126,306
Pete Alonso,2023,NYM,NL,154,1,658,568,92,123,54,21,2,46,118,4,1,65,151,0.217,0.318,0.504,0.821,123,286
Orlando Arcia,2023,ATL,NL,139,1,533,488,66,129,87,25,0,17,65,1,0,39,102,0.264,0.321,0.42,0.741,99,205
Nolan Arenado,2023,STL,NL,144,1,612,560,71,149,95,26,2,26,93,3,3,41,101,0.266,0.315,0.459,0.774,108,257
Luis Arráez,2023,MIA,NL,147,1,617,574,71,203,160,30,3,10,69,3,2,35,34,0.354,0.393,0.469,0.861,130,269
Randy Arozarena,2023,TBR,AL,151,1,654,551,95,140,95,19,3,23,83,22,10,80,156,0.254,0.364,0.425,0.789,120,234
Mookie Betts,2023,LAD,NL,152,1,693,584,126,179,99,40,1,39,107,14,3,96,107,0.307,0.408,0.579,0.987,165,338
Bo Bichette,2023,TOR,AL,135,1,601,571,69,175,122,30,3,20,73,5,3,27,115,0.306,0.339,0.475,0.814,122,271
Corbin Carroll,2023,ARI,NL,155,1,645,565,116,161,96,30,10,25,76,54,5,57,125,0.285,0.362,0.506,0.868,133,286
Nick Castellanos,2023,PHI,NL,157,1,671,626,79,170,102,37,2,29,106,11,2,36,185,0.272,0.311,0.476,0.788,111,298
Yandy Díaz,2023,TBR,AL,137,1,600,525,95,173,116,35,0,22,78,0,1,65,94,0.33,0.41,0.522,0.932,158,274
Elias Díaz,2023,COL,NL,141,1,526,486,48,130,90,25,1,14,72,1,0,34,118,0.267,0.316,0.409,0.725,88,199
Wander Franco,2023,TBR,AL,112,1,491,442,65,124,78,23,6,17,58,30,10,42,69,0.281,0.344,0.475,0.819,126,210
Freddie Freeman,2023,LAD,NL,161,1,730,637,131,211,121,59,2,29,102,23,1,72,121,0.331,0.41,0.567,0.976,163,361
Adolis García,2023,TEX,AL,148,1,632,555,108,136,68,29,0,39,107,9,1,65,175,0.245,0.328,0.508,0.836,127,282
Lourdes Gurriel Jr.,2023,ARI,NL,145,1,592,551,65,144,83,35,2,24,82,5,0,33,103,0.261,0.309,0.463,0.772,107,255
Vladimir Guerrero Jr.,2023,TOR,AL,156,1,682,602,78,159,103,30,0,26,94,5,3,67,100,0.264,0.345,0.444,0.788,116,267
Austin Hays,2023,BAL,AL,144,1,566,520,76,143,89,36,2,16,67,5,1,38,141,0.275,0.325,0.444,0.769,114,231
Jonah Heim,2023,TEX,AL,131,1,501,457,61,118,72,28,0,18,95,2,0,40,96,0.258,0.317,0.438,0.755,106,200
Josh Jung,2023,TEX,AL,122,1,515,478,75,127,78,25,1,23,70,1,3,30,151,0.266,0.315,0.467,0.781,113,223
J.D. Martinez,2023,LAD,NL,113,1,479,432,61,117,55,27,2,33,103,1,0,34,149,0.271,0.321,0.572,0.893,136,247
Whit Merrifield,2023,TOR,AL,145,1,592,547,66,149,111,27,0,11,67,26,10,36,101,0.272,0.318,0.382,0.7,93,209
Sean Murphy,2023,ATL,NL,108,1,438,370,65,93,51,21,0,21,68,0,0,49,98,0.251,0.365,0.478,0.844,127,177
Matt Olson,2023,ATL,NL,162,1,720,608,127,172,88,27,3,54,139,1,0,104,167,0.283,0.389,0.604,0.993,164,367
Shohei Ohtani,2023,LAA,AL,135,1,599,497,102,151,73,26,8,44,95,20,6,91,143,0.304,0.412,0.654,1.066,184,325
Geraldo Perdomo,2023,ARI,NL,144,1,495,407,71,100,70,20,4,6,47,16,4,64,86,0.246,0.353,0.359,0.712,95,146
Salvador Perez,2023,KCR,AL,140,1,580,538,59,137,93,21,0,23,80,0,0,19,135,0.255,0.292,0.422,0.714,92,227
José Ramírez,2023,CLE,AL,156,1,691,611,87,172,107,36,5,24,80,28,6,73,73,0.282,0.356,0.475,0.831,127,290
Austin Riley,2023,ATL,NL,159,1,715,636,117,179,107,32,3,37,97,3,1,59,172,0.281,0.345,0.516,0.861,130,328
Luis Robert Jr.,2023,CHW,AL,145,1,595,546,90,144,69,36,1,38,80,20,4,30,172,0.264,0.315,0.542,0.857,130,296
Julio Rodríguez,2023,SEA,AL,155,1,714,654,102,180,109,37,2,32,103,37,10,47,175,0.275,0.333,0.485,0.818,130,317
Adley Rutschman,2023,BAL,AL,154,1,687,588,84,163,111,31,1,20,80,1,2,92,101,0.277,0.374,0.435,0.809,128,256
Corey Seager,2023,TEX,AL,119,1,536,477,88,156,81,42,0,33,96,2,1,49,88,0.327,0.39,0.623,1.013,174,297
Marcus Semien,2023,TEX,AL,162,1,753,670,122,185,112,40,4,29,100,14,3,72,110,0.276,0.348,0.478,0.826,126,320
Will Smith,2023,LAD,NL,126,1,554,464,80,121,79,21,2,19,76,3,0,63,89,0.261,0.359,0.438,0.797,116,203
Jorge Soler,2023,MIA,NL,137,1,580,504,77,126,66,24,0,36,75,1,0,66,141,0.25,0.341,0.512,0.853,125,258
Juan Soto,2023,SDP,NL,162,1,708,568,97,156,88,32,1,35,109,12,5,132,129,0.275,0.41,0.519,0.93,155,295
Dansby Swanson,2023,CHC,NL,147,1,638,565,81,138,88,25,3,22,80,9,1,66,154,0.244,0.328,0.416,0.744,103,235
Kyle Tucker,2023,HOU,AL,157,1,674,574,97,163,92,37,5,29,112,30,5,80,92,0.284,0.369,0.517,0.886,142,297
Ronald Acuña Jr.,2022,ATL,NL,119,1,533,467,71,124,85,24,0,15,50,29,11,53,126,0.266,0.351,0.413,0.764,112,193
Pete Alonso,2022,NYM,NL,160,1,685,597,95,162,95,27,0,40,131,5,1,67,128,0.271,0.352,0.518,0.869,146,309
Jose Altuve,2022,HOU,AL,141,1,604,527,103,158,91,39,0,28,57,18,1,66,87,0.3,0.387,0.533,0.921,161,281
Nolan Arenado,2022,STL,NL,148,1,620,557,73,163,90,42,1,30,103,5,3,52,72,0.293,0.358,0.533,0.891,151,297
Mookie Betts,2022,LAD,NL,142,1,639,572,117,154,76,40,3,35,82,12,2,55,104,0.269,0.34,0.533,0.873,140,305
Xander Bogaerts,2022,BOS,AL,150,1,631,557,84,171,118,38,0,15,73,8,2,57,118,0.307,0.377,0.456,0.833,131,254
Miguel Cabrera,2022,DET,AL,112,1,433,397,25,101,86,10,0,5,43,1,0,28,101,0.254,0.305,0.317,0.622,80,126
C.J. Cron,2022,COL,NL,150,1,632,575,79,148,88,28,3,29,102,0,0,43,164,0.257,0.315,0.468,0.783,108,269
Jake Cronenworth,2022,SDP,NL,158,1,684,587,88,140,89,30,4,17,88,3,0,70,131,0.239,0.332,0.39,0.722,109,229
Travis d'Arnaud,2022,ATL,NL,107,1,426,396,61,106,62,25,1,18,60,0,0,19,90,0.268,0.319,0.472,0.791,117,187
Rafael Devers,2022,BOS,AL,141,1,614,555,84,164,94,42,1,27,88,3,1,50,114,0.295,0.358,0.521,0.879,141,289
Santiago Espinal,2022,TOR,AL,135,1,491,449,51,120,88,25,0,7,51,6,6,36,68,0.267,0.322,0.37,0.692,99,166
Ty France,2022,SEA,AL,140,1,613,551,65,151,103,27,1,20,83,0,0,35,94,0.274,0.338,0.436,0.774,125,240
Freddie Freeman,2022,LAD,NL,159,1,708,612,117,199,129,47,2,21,100,13,3,84,102,0.325,0.407,0.511,0.918,156,313
Andrés Giménez,2022,CLE,AL,146,1,557,491,66,146,100,26,3,17,69,20,3,34,112,0.297,0.371,0.466,0.837,141,229
Paul Goldschmidt,2022,STL,NL,151,1,651,561,106,178,102,41,0,35,115,7,0,79,141,0.317,0.404,0.578,0.981,177,324
Vladimir Guerrero Jr.,2022,TOR,AL,160,1,706,638,90,175,108,35,0,32,97,8,3,58,116,0.274,0.339,0.48,0.818,133,306
Ian Happ,2022,CHC,NL,158,1,641,573,72,155,94,42,2,17,72,9,4,58,149,0.271,0.342,0.44,0.781,117,252
Bryce Harper,2022,PHI,NL,99,1,426,370,63,106,59,28,1,18,65,11,4,46,87,0.286,0.364,0.514,0.877,146,190
Aaron Judge,2022,NYY,AL,157,1,696,570,133,177,87,28,0,62,131,16,3,111,175,0.311,0.425,0.686,1.111,210,391
Manny Machado,2022,SDP,NL,150,1,644,578,100,172,102,37,1,32,102,9,1,63,133,0.298,0.366,0.531,0.898,157,307
Starling Marte,2022,NYM,NL,118,1,505,466,76,136,91,24,5,16,63,18,9,26,97,0.292,0.347,0.468,0.814,132,218
J.D. Martinez,2022,BOS,AL,139,1,596,533,76,146,86,43,1,16,62,0,0,52,145,0.274,0.341,0.448,0.79,117,239
Jeff McNeil,2022,NYM,NL,148,1,589,533,73,174,125,39,1,9,62,4,0,40,61,0.326,0.382,0.454,0.836,140,242
Shohei Ohtani,2022,LAA,AL,157,1,666,586,90,160,90,30,6,34,95,11,9,72,161,0.273,0.356,0.519,0.875,144,304
Joc Pederson,2022,SFG,NL,134,1,433,380,57,104,59,19,3,23,70,3,2,42,100,0.274,0.353,0.521,0.874,146,198
José Ramírez,2022,CLE,AL,157,1,685,601,90,168,90,44,5,29,126,20,7,69,82,0.28,0.355,0.514,0.869,148,309
Austin Riley,2022,ATL,NL,159,1,693,615,90,168,89,39,2,38,93,2,0,57,168,0.273,0.349,0.528,0.878,140,325
Julio Rodríguez,2022,SEA,AL,132,1,560,511,84,145,89,25,3,28,75,25,7,40,145,0.284,0.345,0.509,0.853,147,260
Kyle Schwarber,2022,PHI,NL,155,1,669,577,100,126,56,21,3,46,94,10,1,86,200,0.218,0.323,0.504,0.827,131,291
Corey Seager,2022,TEX,AL,151,1,663,593,91,145,87,24,1,33,83,3,0,58,103,0.245,0.317,0.455,0.772,117,270
George Springer,2022,TOR,AL,133,1,583,513,89,137,86,22,4,25,76,14,2,54,100,0.267,0.342,0.472,0.814,132,242
Dansby Swanson,2022,ATL,NL,162,1,696,640,99,177,119,32,1,25,96,18,7,49,182,0.277,0.329,0.447,0.776,114,286
Jose Trevino,2022,NYY,AL,115,1,353,335,39,83,59,12,1,11,43,2,1,15,62,0.248,0.283,0.388,0.671,89,130
Mike Trout,2022,LAA,AL,119,1,499,438,85,124,54,28,2,40,80,1,0,54,139,0.283,0.369,0.63,0.999,176,276
Kyle Tucker,2022,HOU,AL,150,1,609,544,71,140,81,28,1,30,107,25,4,59,95,0.257,0.33,0.478,0.808,129,260
Trea Turner,2022,LAD,NL,160,1,708,652,101,194,130,39,4,21,100,27,3,45,131,0.298,0.343,0.466,0.809,124,304
Ronald Acuña Jr.,2021,ATL,NL,82,1,360,297,72,84,40,19,1,24,52,17,6,49,85,0.283,0.394,0.596,0.99,158,177
Ozzie Albies,2021,ATL,NL,156,1,686,629,103,163,86,40,7,30,106,20,4,47,128,0.259,0.31,0.488,0.799,108,307
Jose Altuve,2021,HOU,AL,146,1,678,601,117,167,103,32,1,31,83,5,3,66,91,0.278,0.35,0.489,0.839,127,294
Tim Anderson,2021,CHW,AL,123,1,551,527,94,163,115,29,2,17,61,18,7,22,119,0.309,0.338,0.469,0.806,118,247
Nolan Arenado,2021,STL,NL,157,1,653,593,81,151,80,34,3,34,105,2,0,50,96,0.255,0.312,0.494,0.807,119,293
Mookie Betts,2021,LAD,NL,122,1,550,466,93,123,68,29,3,23,58,10,5,68,86,0.264,0.367,0.487,0.854,126,227
Bo Bichette,2021,TOR,AL,159,1,690,640,121,191,131,30,1,29,102,25,1,40,137,0.298,0.343,0.484,0.828,121,310
Xander Bogaerts,2021,BOS,AL,144,1,603,529,90,156,98,34,1,23,79,5,1,62,113,0.295,0.37,0.493,0.863,129,261
Michael Brantley,2021,HOU,AL,121,1,508,469,68,146,106,29,3,8,47,1,0,33,53,0.311,0.362,0.437,0.799,119,205
Nick Castellanos,2021,CIN,NL,138,1,585,531,95,164,91,38,1,34,100,3,1,41,121,0.309,0.362,0.576,0.939,138,306
Carlos Correa,2021,HOU,AL,148,1,640,555,104,155,94,34,1,26,92,0,0,75,116,0.279,0.366,0.485,0.85,131,269
Brandon Crawford,2021,SFG,NL,138,1,549,483,79,144,87,30,3,24,90,11,3,56,105,0.298,0.373,0.522,0.895,141,252
Jake Cronenworth,2021,SDP,NL,152,1,643,567,94,151,90,33,7,21,71,4,3,55,90,0.266,0.34,0.46,0.8,122,261
Rafael Devers,2021,BOS,AL,156,1,664,591,101,165,89,37,1,38,113,5,5,62,143,0.279,0.352,0.538,0.89,134,318
Freddie Freeman,2021,ATL,NL,159,1,695,600,120,180,122,25,2,31,83,8,3,85,107,0.3,0.393,0.503,0.896,136,302
Adolis García,2021,TEX,AL,149,1,622,581,77,141,82,26,2,31,90,16,5,32,194,0.243,0.286,0.454,0.741,100,264
Vladimir Guerrero Jr.,2021,TOR,AL,161,1,698,604,123,188,110,29,1,48,111,4,1,86,110,0.311,0.401,0.601,1.002,167,363
Teoscar Hernández,2021,TOR,AL,143,1,595,550,92,163,102,29,0,32,116,12,4,36,148,0.296,0.346,0.524,0.87,131,288
Aaron Judge,2021,NYY,AL,148,1,633,550,89,158,95,24,0,39,98,6,1,75,158,0.287,0.373,0.544,0.916,149,299
Manny Machado,2021,SDP,NL,153,1,640,564,92,157,96,31,2,28,106,12,3,63,102,0.278,0.347,0.489,0.836,131,276
J.D. Martinez,2021,BOS,AL,148,1,634,570,92,163,90,42,3,28,99,0,0,55,150,0.286,0.349,0.518,0.867,128,295
Whit Merrifield,2021,KCR,AL,162,1,720,664,97,184,129,42,3,10,74,40,4,40,103,0.277,0.317,0.395,0.711,93,262
Yadier Molina,2021,STL,NL,121,1,473,440,45,111,81,19,0,11,66,3,0,24,79,0.252,0.297,0.37,0.667,84,163
Cedric Mullins,2021,BAL,AL,159,1,675,602,91,175,103,37,5,30,59,30,8,59,125,0.291,0.36,0.518,0.878,137,312
Max Muncy,2021,LAD,NL,144,1,592,497,95,124,60,26,2,36,94,2,1,83,120,0.249,0.368,0.527,0.895,135,262
Omar Narváez,2021,MIL,NL,123,1,445,391,54,104,73,20,0,11,49,0,0,41,84,0.266,0.342,0.402,0.743,101,157
Matt Olson,2021,OAK,AL,156,1,673,565,101,153,79,35,0,39,111,4,1,88,113,0.271,0.371,0.54,0.911,153,305
Shohei Ohtani,2021,LAA,AL,155,1,639,537,103,138,58,26,8,46,100,26,10,96,189,0.257,0.372,0.592,0.965,157,318
Salvador Perez,2021,KCR,AL,161,1,665,620,88,169,97,24,0,48,121,1,0,28,170,0.273,0.316,0.544,0.859,128,337
Buster Posey,2021,SFG,NL,113,1,454,395,68,120,79,23,0,18,56,0,0,56,87,0.304,0.39,0.499,0.889,140,197
José Ramírez,2021,CLE,AL,152,1,636,552,111,147,74,32,5,36,103,27,4,72,87,0.266,0.355,0.538,0.893,142,297
J.T. Realmuto,2021,PHI,NL,134,1,537,476,64,125,79,25,4,17,73,13,3,48,129,0.263,0.343,0.439,0.782,110,209
Bryan Reynolds,2021,PIT,NL,159,1,646,559,93,169,102,35,8,24,90,5,2,75,119,0.302,0.39,0.522,0.912,145,292
Kyle Schwarber,2021,WSN,NL,113,1,471,399,76,106,55,19,0,32,71,1,1,64,127,0.266,0.374,0.554,0.928,149,221
Marcus Semien,2021,TOR,AL,162,1,724,652,115,173,87,39,2,45,102,15,1,66,146,0.265,0.334,0.538,0.873,131,351
Juan Soto,2021,WSN,NL,151,1,654,502,111,157,106,20,2,29,95,9,7,145,93,0.313,0.465,0.534,0.999,175,268
Fernando Tatis Jr.,2021,SDP,NL,130,1,546,478,99,135,62,31,0,42,97,25,4,62,153,0.282,0.364,0.611,0.975,166,292
Chris Taylor,2021,LAD,NL,148,1,582,507,92,129,80,25,4,20,73,13,1,63,167,0.254,0.344,0.438,0.782,107,222
Justin Turner,2021,LAD,NL,151,1,612,533,87,148,99,22,0,27,87,3,0,61,98,0.278,0.361,0.471,0.832,120,251
Jared Walsh,2021,LAA,AL,144,1,585,530,70,147,83,34,1,29,98,2,1,48,152,0.277,0.34,0.509,0.85,127,270
Joey Wendle,2021,TBR,AL,136,1,501,460,73,122,76,31,4,11,54,8,6,28,113,0.265,0.319,0.422,0.741,108,194
Jesse Winker,2021,CIN,NL,110,1,485,423,77,129,72,32,1,24,71,1,0,53,75,0.305,0.394,0.556,0.949,143,235
Mike Zunino,2021,TBR,AL,109,1,375,333,64,72,26,11,2,33,62,0,0,34,132,0.216,0.301,0.559,0.86,136,186
José Abreu,2019,CHW,AL,159,1,693,634,85,180,108,38,1,33,123,2,2,36,152,0.284,0.33,0.503,0.834,118,319
Ronald Acuña Jr.,2019,ATL,NL,156,1,715,626,127,175,110,22,2,41,101,37,9,76,188,0.28,0.365,0.518,0.883,121,324
Pete Alonso,2019,NYM,NL,161,1,693,597,103,155,70,30,2,53,120,1,0,72,183,0.26,0.358,0.583,0.941,147,348
Nolan Arenado,2019,COL,NL,155,1,662,588,102,185,111,31,2,41,118,3,2,62,93,0.315,0.379,0.583,0.962,131,343
Javier Báez,2019,CHC,NL,138,1,561,531,89,149,78,38,4,29,85,11,7,28,156,0.281,0.316,0.531,0.847,115,282
Josh Bell,2019,PIT,NL,143,1,613,527,94,146,69,37,3,37,116,0,1,74,118,0.277,0.367,0.569,0.936,142,300
Cody Bellinger,2019,LAD,NL,156,1,661,558,121,170,86,34,3,47,115,15,5,95,108,0.305,0.406,0.629,1.035,167,351
Mookie Betts,2019,BOS,AL,150,1,706,597,135,176,102,40,5,29,80,16,3,97,101,0.295,0.391,0.524,0.915,134,313
Charlie Blackmon,2019,COL,NL,140,1,634,580,112,182,101,42,7,32,86,2,5,40,104,0.314,0.364,0.576,0.94,125,334
Xander Bogaerts,2019,BOS,AL,155,1,698,614,110,190,105,52,0,33,117,4,2,76,122,0.309,0.384,0.555,0.939,139,341
Michael Brantley,2019,HOU,AL,148,1,637,575,88,179,115,40,2,22,90,3,2,51,66,0.311,0.372,0.503,0.875,126,289
Alex Bregman,2019,HOU,AL,156,1,690,554,122,164,84,37,2,41,112,5,1,119,83,0.296,0.423,0.592,1.015,162,328
Kris Bryant,2019,CHC,NL,147,1,634,543,108,153,86,35,1,31,77,4,0,74,145,0.282,0.382,0.521,0.903,132,283
Matt Chapman,2019,OAK,AL,156,1,670,583,102,145,70,36,3,36,91,1,1,73,147,0.249,0.342,0.506,0.848,127,295
Willson Contreras,2019,CHC,NL,105,1,409,360,57,98,54,18,2,24,64,1,2,38,102,0.272,0.355,0.533,0.888,127,192
David Dahl,2019,COL,NL,100,1,413,374,67,113,65,28,5,15,61,4,4,28,110,0.302,0.353,0.524,0.877,111,196
